"id","name","chamber","url","api_uri"
"HSHA","Committee on Administration","House","https://cha.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSHA.json"
"HSAG","Committee on Agriculture","House","https://agriculture.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSAG.json"
"HSAP","Committee on Appropriations","House","https://appropriations.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSAP.json"
"HSAS","Committee on Armed Services","House","https://armedservices.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSAS.json"
"HSED","Committee on Education and Labor","House","https://edlabor.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSED.json"
"HSIF","Committee on Energy and Commerce","House","https://energycommerce.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSIF.json"
"HSSO","Committee on Ethics","House","https://ethics.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSSO.json"
"HSBA","Committee on Financial Services","House","https://financialservices.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSBA.json"
"HSFA","Committee on Foreign Affairs","House","https://foreignaffairs.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSFA.json"
"HSHM","Committee on Homeland Security","House","https://homeland.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSHM.json"
"HSII","Committee on Natural Resources","House","https://naturalresources.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSII.json"
"HSGO","Committee on Oversight and Reform","House","https://oversight.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSGO.json"
"HSRU","Committee on Rules","House","https://rules.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSRU.json"
"HSSY","Committee on Science, Space, and Technology","House","https://science.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSSY.json"
"HSSM","Committee on Small Business","House","https://smallbusiness.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSSM.json"
"HSBU","Committee on the Budget","House","https://budget.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSBU.json"
"HSJU","Committee on the Judiciary","House","https://judiciary.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSJU.json"
"HSPW","Committee on Transportation and Infrastructure","House","https://transportation.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSPW.json"
"HSVR","Committee on Veterans' Affairs","House","https://veterans.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSVR.json"
"HSWM","Committee on Ways and Means","House","https://waysandmeans.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSWM.json"
"HSIG","Permanent Select Committee on Intelligence","House","https://intelligence.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSIG.json"
"HSCN","Select Committee on the Climate Crisis","House","","https://api.propublica.org/congress/v1/117/house/committees/HSCN.json"
"HSMH","Select Committee on the Modernization of Congress","House","https://modernizecongress.house.gov/","https://api.propublica.org/congress/v1/117/house/committees/HSMH.json"